,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,name,mlb_id,babip
73,657077,2020,24,201,221,62,40,16,0,6,45,17,20.4,7.7,0.308,0.478,0.36700000000000005,0.8440000000000001,1,0.23800000000000002,0.369,0.36200000000000004,0.298,0.305,0.131,87.0,5.9,6.4,Alex Verdugo,657077,0.3708609271523179
74,660162,2020,25,200,231,45,28,8,3,6,72,28,31.2,12.1,0.225,0.385,0.32,0.705,2,0.20600000000000002,0.33399999999999996,0.309,0.28800000000000003,0.305,0.128,87.8,13.9,6.2,Yoan Moncada,660162,0.31451612903225806
75,663757,2020,24,215,252,54,33,8,3,10,64,31,25.4,12.3,0.251,0.456,0.349,0.805,1,0.264,0.48,0.349,0.36700000000000005,0.364,0.215,88.3,13.5,11.1,Trent Grisham,663757,0.30985915492957744
76,665742,2020,22,154,196,54,27,14,0,13,28,41,14.3,20.9,0.35100000000000003,0.695,0.49,1.185,0,0.332,0.695,0.478,0.474,0.475,0.363,92.1,4.3,18.3,Juan Soto,665742,0.36283185840707965
77,443558,2020,40,185,214,56,34,6,0,16,58,25,27.1,11.7,0.303,0.595,0.397,0.992,0,0.265,0.535,0.41100000000000003,0.377,0.365,0.27,91.6,9.4,15.0,Nelson Cruz,443558,0.36036036036036034
78,453568,2020,34,221,247,67,48,12,1,6,44,19,17.8,7.7,0.303,0.44799999999999995,0.35600000000000004,0.804,5,0.27399999999999997,0.419,0.34,0.32799999999999996,0.337,0.145,86.9,13.5,4.9,Charlie Blackmon,453568,0.3465909090909091
79,456781,2020,33,190,203,62,43,15,1,3,39,10,19.2,4.9,0.326,0.46299999999999997,0.365,0.828,1,0.28,0.418,0.35700000000000004,0.321,0.321,0.139,88.5,15.5,4.6,Donovan Solano,456781,0.3959731543624161
80,457705,2020,34,217,241,55,36,9,0,10,48,22,19.9,9.1,0.253,0.433,0.324,0.757,1,0.273,0.479,0.327,0.355,0.34299999999999997,0.20600000000000002,89.7,18.2,8.2,Andrew McCutchen,457705,0.28125
81,516782,2020,32,228,250,64,43,14,1,6,41,12,16.4,4.8,0.281,0.43,0.34,0.77,1,0.262,0.414,0.33299999999999996,0.322,0.32299999999999995,0.153,87.1,6.5,6.4,Starling Marte,516782,0.31868131868131866
82,519203,2020,31,203,243,45,28,6,0,11,38,28,15.6,11.5,0.222,0.414,0.342,0.755,2,0.265,0.41100000000000003,0.326,0.353,0.381,0.146,87.7,16.7,7.8,Anthony Rizzo,519203,0.21794871794871795
83,543685,2020,30,189,232,54,33,11,1,9,31,38,13.4,16.4,0.28600000000000003,0.49700000000000005,0.418,0.915,0,0.28600000000000003,0.467,0.395,0.38799999999999996,0.418,0.18100000000000002,90.1,19.5,6.3,Anthony Rendon,543685,0.30201342281879195
84,545341,2020,29,216,231,59,38,9,0,12,49,13,21.2,5.6,0.273,0.48100000000000004,0.312,0.7929999999999999,2,0.266,0.46299999999999997,0.337,0.33299999999999996,0.309,0.198,88.9,12.6,11.2,Randal Grichuk,545341,0.29936305732484075
85,547004,2020,26,185,204,41,21,11,0,9,46,17,22.5,8.3,0.222,0.42700000000000005,0.284,0.711,1,0.21100000000000002,0.354,0.303,0.276,0.276,0.14300000000000002,87.9,10.5,8.5,Rio Ruiz,547004,0.24427480916030533
86,571448,2020,29,182,201,46,29,9,0,8,20,15,10.0,7.5,0.253,0.434,0.303,0.738,4,0.23399999999999999,0.38799999999999996,0.308,0.28600000000000003,0.28800000000000003,0.154,87.8,19.1,5.4,Nolan Arenado,571448,0.24050632911392406
