last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Reddick, Josh,502210,2020,33,188,210,46,30,11,1,4,42,20,20,9.5,0.245,0.378,0.314,0.692,1,0.245,0.358,0.304,0.301,0.317,0.113,85.9,19.1,4.8,
Goldschmidt, Paul,502671,2020,33,191,231,58,39,13,0,6,43,37,18.6,16,0.304,0.466,0.416,0.882,1,0.285,0.509,0.387,0.395,0.403,0.224,89.2,11.7,10.7,
Altuve, Jose,514888,2020,30,192,210,42,28,9,0,5,39,17,18.6,8.1,0.219,0.344,0.286,0.629,0,0.229,0.346,0.278,0.286,0.295,0.118,86.7,9.3,4.6,
Flores, Wilmer,527038,2020,29,198,213,53,29,11,1,12,36,13,16.9,6.1,0.268,0.515,0.315,0.83,1,0.249,0.434,0.347,0.312,0.297,0.185,87.9,19,6.1,
Garcia, Avisail,541645,2020,29,181,207,43,31,10,0,2,49,20,23.7,9.7,0.238,0.326,0.333,0.659,0,0.244,0.375,0.299,0.321,0.339,0.131,87.4,8.7,3.8,
Ozuna, Marcell,542303,2020,30,228,267,77,45,14,0,18,60,38,22.5,14.2,0.338,0.636,0.431,1.067,1,0.312,0.633,0.444,0.435,0.41,0.32,93,16.4,15.4,
Grossman, Robbie,543257,2020,31,166,192,40,18,12,2,8,38,21,19.8,10.9,0.241,0.482,0.344,0.826,0,0.239,0.397,0.351,0.326,0.342,0.158,89,15.2,5.5,
Springer, George,543807,2020,31,189,222,50,28,6,2,14,38,24,17.1,10.8,0.265,0.54,0.356,0.896,2,0.29,0.56,0.379,0.4,0.382,0.269,88.7,18.3,12.4,
Gregorius, Didi,544369,2020,30,215,237,61,39,10,2,10,28,15,11.8,6.3,0.284,0.488,0.338,0.826,2,0.262,0.394,0.348,0.31,0.321,0.132,83.8,17.8,4.2,
Abreu, Jose,547989,2020,33,240,262,76,42,15,0,19,59,18,22.5,6.9,0.317,0.617,0.37,0.987,1,0.299,0.587,0.411,0.398,0.357,0.288,92.9,10.9,14.3,
Suarez, Eugenio,553993,2020,29,198,231,40,17,8,0,15,67,30,29,13,0.202,0.47,0.312,0.781,1,0.216,0.472,0.332,0.341,0.325,0.255,89.1,17.9,14.4,
Gonzalez, Erik,570481,2020,29,181,193,41,24,13,1,3,51,8,26.4,4.1,0.227,0.359,0.254,0.613,3,0.236,0.394,0.262,0.292,0.274,0.157,88.5,5.5,6.7,
Voit, Luke,572228,2020,29,213,234,59,32,5,0,22,54,17,23.1,7.3,0.277,0.61,0.338,0.948,1,0.279,0.584,0.393,0.388,0.34,0.305,88.9,15.2,13.1,
Contreras, Willson,575929,2020,28,189,225,46,29,10,0,7,57,20,25.3,8.9,0.243,0.407,0.356,0.763,2,0.249,0.44,0.339,0.356,0.361,0.192,89.8,9.1,10.4,
Machado, Manny,592518,2020,28,224,254,68,39,12,1,16,37,26,14.6,10.2,0.304,0.58,0.37,0.95,4,0.302,0.536,0.391,0.384,0.374,0.234,90.2,15.6,11,
Bogaerts, Xander,593428,2020,28,203,225,61,42,8,0,11,41,21,18.2,9.3,0.3,0.502,0.364,0.867,1,0.257,0.468,0.368,0.339,0.325,0.211,89,8.7,8.6,
Profar, Jurickson,595777,2020,27,180,202,50,37,6,0,7,28,15,13.9,7.4,0.278,0.428,0.342,0.769,2,0.279,0.406,0.335,0.334,0.347,0.127,87.2,11,3.2,
Kepler, Max,596146,2020,27,171,196,39,21,9,0,9,36,22,18.4,11.2,0.228,0.439,0.321,0.76,1,0.256,0.422,0.332,0.342,0.347,0.166,88.5,21.9,5.1,
Candelario, Jeimer,600869,2020,27,185,206,55,34,11,3,7,49,20,23.8,9.7,0.297,0.503,0.369,0.872,0,0.275,0.466,0.373,0.353,0.349,0.191,90.2,13.3,10.3,
Tapia, Raimel,606132,2020,26,184,206,59,48,8,2,1,38,14,18.4,6.8,0.321,0.402,0.364,0.766,3,0.251,0.331,0.338,0.29,0.31,0.08,85.3,1.8,2,
Pillar, Kevin,607680,2020,31,208,223,60,39,12,3,6,41,13,18.4,5.8,0.288,0.462,0.336,0.798,0,0.268,0.427,0.341,0.323,0.317,0.159,87.1,13.4,5.4,
Mondesi, Adalberto,609275,2020,25,219,233,56,36,11,3,6,70,11,30,4.7,0.256,0.416,0.292,0.707,0,0.213,0.353,0.305,0.266,0.254,0.14,90.6,13.7,7.3,
Correa, Carlos,621043,2020,26,201,221,53,39,9,0,5,49,16,22.2,7.2,0.264,0.383,0.326,0.709,1,0.254,0.401,0.309,0.314,0.319,0.147,88.6,11.4,5.9,
Olson, Matt,621566,2020,26,210,245,41,22,4,1,14,77,34,31.4,13.9,0.195,0.424,0.31,0.734,0,0.221,0.447,0.316,0.336,0.332,0.226,92.3,19.6,12.8,
